,model_number,sample_type,metric_type,score
341,42,validate,accuracy,0.7030057623423143
342,42,validate,precision,0.7047696697920913
343,42,validate,recall,0.978160009052846
344,43,train,accuracy,0.7081734138771151
345,43,train,precision,0.7133417130544083
346,43,train,recall,0.9630545454545455
347,43,train,f1_score,0.8195997524241799
348,43,validate,f1_score,0.8187066974595842
349,43,validate,accuracy,0.7065877589160567
350,43,validate,precision,0.7121453084456348
351,43,validate,recall,0.9627701708724681
352,44,train,accuracy,0.7067383105830525
353,44,train,precision,0.709447983014862
354,44,train,recall,0.9720727272727273
355,44,train,f1_score,0.8202516109235963
356,44,validate,f1_score,0.820268597009239
357,44,validate,accuracy,0.7061205419716555
358,44,validate,precision,0.7081654469204836
359,44,validate,recall,0.9745388706574629
360,45,train,accuracy,0.7087741547909088
361,45,train,precision,0.7128394090079777
362,45,train,recall,0.9661090909090909
363,45,train,f1_score,0.8203713615216764
364,45,validate,f1_score,0.8196249580355858
365,45,validate,accuracy,0.7071328453511914
366,45,validate,precision,0.7112535375395372
367,45,validate,recall,0.9669571121421296
368,46,train,accuracy,0.7108433734939759
369,46,train,precision,0.7156300703082747
370,46,train,recall,0.9623272727272727
371,46,train,f1_score,0.8208436724565756
372,46,validate,f1_score,0.8184971098265897
373,46,validate,accuracy,0.7065877589160567
374,46,validate,precision,0.7125723391763817
375,46,validate,recall,0.9614122439741994
376,47,train,accuracy,0.7132463371491506
377,47,train,precision,0.7194921746744007
378,47,train,recall,0.9562181818181819
379,47,train,f1_score,0.8211341493879589
380,47,validate,f1_score,0.8147788512890227
381,47,validate,accuracy,0.7029278928515807
382,47,validate,precision,0.7135204081632653
383,47,validate,recall,0.9495303836143487
384,48,train,accuracy,0.7135800821012582
385,48,train,precision,0.7166552729104451
386,48,train,recall,0.9657212121212121
387,48,train,f1_score,0.8227518691395761
388,48,validate,f1_score,0.8168674698795181
389,48,validate,accuracy,0.7040959352125837
390,48,validate,precision,0.7114077058675397
391,48,validate,recall,0.9590358719022293
392,49,train,accuracy,0.7033341120715549
393,49,train,precision,0.7026243093922652
394,49,train,recall,0.986569696969697
395,49,train,f1_score,0.8207320762327317
396,49,validate,f1_score,0.8200498424789581
397,49,validate,accuracy,0.7019934589627784
398,49,validate,precision,0.7015285599356396
399,49,validate,recall,0.9867602127418807
400,50,train,accuracy,0.7045022194039315
401,50,train,precision,0.7061687743020282
402,50,train,recall,0.9774060606060606
403,50,train,f1_score,0.819938176197836
404,50,validate,f1_score,0.8191993929045721
405,50,validate,accuracy,0.7031615013237813
406,50,validate,precision,0.7051522821915571
407,50,validate,recall,0.9772547244540002
408,51,train,accuracy,0.7081066648866936
409,51,train,precision,0.7127251889258981
410,51,train,recall,0.9648484848484848
411,51,train,f1_score,0.8198409755695629
412,51,validate,f1_score,0.8185224325103276
413,51,validate,accuracy,0.7058090640087213
414,51,validate,precision,0.7111259494199149
415,51,validate,recall,0.9641280977707367
416,52,train,accuracy,0.7097753896472316
417,52,train,precision,0.7099510718434299
418,52,train,recall,0.9778909090909091
419,52,train,f1_score,0.822653668882816
420,52,validate,f1_score,0.821017593913457
421,52,validate,accuracy,0.7068992368789908
422,52,validate,precision,0.708029197080292
423,52,validate,recall,0.9769152427294331
424,53,train,accuracy,0.7112104929412942
425,53,train,precision,0.7121792145186445
426,53,train,recall,0.9741575757575758
427,53,train,f1_score,0.8228187644613715
428,53,validate,f1_score,0.8202311586588977
429,53,validate,accuracy,0.7068992368789908
430,53,validate,precision,0.7096107759689282
431,53,validate,recall,0.97170985628607
432,54,train,accuracy,0.7135133331108366
433,54,train,precision,0.7189511583081791
434,54,train,recall,0.9584969696969697
435,54,train,f1_score,0.8216200490420184
436,54,validate,f1_score,0.817533821461475
437,54,validate,accuracy,0.7069771063697243
438,54,validate,precision,0.7152553877481758
439,54,validate,recall,0.9539436460337218
440,55,train,accuracy,0.7157827987851684
441,55,train,precision,0.7190247078826466
442,55,train,recall,0.9636848484848485
443,55,train,f1_score,0.8235684097124388
444,55,validate,f1_score,0.8185025859152207
445,55,validate,accuracy,0.7076000622955926
446,55,validate,precision,0.7143941950725616
447,55,validate,recall,0.9581305873033835
448,56,train,accuracy,0.7172512765744418
449,56,train,precision,0.7210681413031615
450,56,train,recall,0.9609696969696969
451,56,train,f1_score,0.823910874625873
452,56,validate,f1_score,0.8175911559348331
453,56,validate,accuracy,0.7070549758604578
454,56,validate,precision,0.715279545261729
455,56,validate,recall,0.9540568066085776
456,57,train,accuracy,0.7033341120715549
457,57,train,precision,0.7026243093922652
458,57,train,recall,0.986569696969697
459,57,train,f1_score,0.8207320762327317
460,57,validate,f1_score,0.8200498424789581
461,57,validate,accuracy,0.7019934589627784
462,57,validate,precision,0.7015285599356396
463,57,validate,recall,0.9867602127418807
464,58,train,accuracy,0.7046023428895638
465,58,train,precision,0.706199649737303
466,58,train,recall,0.9775515151515152
467,58,train,f1_score,0.8200101677681749
468,58,validate,f1_score,0.8191433856661766
469,58,validate,accuracy,0.7030836318330478
470,58,validate,precision,0.7051282051282052
471,58,validate,recall,0.9771415638791445
472,59,train,accuracy,0.7105096285418683
473,59,train,precision,0.7166841933495304
474,59,train,recall,0.9582545454545455
475,59,train,f1_score,0.8200489606240405
476,59,validate,f1_score,0.8188107794281291
477,59,validate,accuracy,0.7083787572029279
478,59,validate,precision,0.7151791751183232
479,59,validate,recall,0.9575647844291049
480,60,train,accuracy,0.712078229816774
481,60,train,precision,0.7129268119542841
482,60,train,recall,0.9738666666666667
483,60,train,f1_score,0.8232135904424271
484,60,validate,f1_score,0.8219060351413293
485,60,validate,accuracy,0.7095467995639309
486,60,validate,precision,0.7109110431981498
487,60,validate,recall,0.9739730677831844
488,61,train,accuracy,0.7144478189767379
489,61,train,precision,0.715648786763392
490,61,train,recall,0.9709575757575758
491,61,train,f1_score,0.8239795918367349
492,61,validate,f1_score,0.8201093735009116
493,61,validate,accuracy,0.7079894097492603
494,61,validate,precision,0.7117994837205429
495,61,validate,recall,0.9672965938666969
496,62,train,accuracy,0.7166505356606482
497,62,train,precision,0.7196380090497737
498,62,train,recall,0.9638787878787879
499,62,train,f1_score,0.824041450777202
500,62,validate,f1_score,0.820024183796856
501,62,validate,accuracy,0.7102476249805326
502,62,validate,precision,0.716083797938841
503,62,validate,recall,0.9592621930519407
504,63,train,accuracy,0.7172179020792311
505,63,train,precision,0.7195086705202313
506,63,train,recall,0.9656242424242424
507,63,train,f1_score,0.8245937273574164
508,63,validate,f1_score,0.8170590505596295
509,63,validate,accuracy,0.704718891138452
510,63,validate,precision,0.7121352283239425
511,63,validate,recall,0.9582437478782392
512,64,train,accuracy,0.7199879851817241
513,64,train,precision,0.7202837492348133
514,64,train,recall,0.9698424242424243
515,64,train,f1_score,0.8266385651706752
516,64,validate,f1_score,0.8184138296335532
517,64,validate,accuracy,0.7063541504438561
518,64,validate,precision,0.7123218776194468
519,64,validate,recall,0.9616385651239109
520,65,train,accuracy,0.7033341120715549
521,65,train,precision,0.7026243093922652
522,65,train,recall,0.986569696969697
523,65,train,f1_score,0.8207320762327317
524,65,validate,f1_score,0.8200498424789581
525,65,validate,accuracy,0.7019934589627784
526,65,validate,precision,0.7015285599356396
527,65,validate,recall,0.9867602127418807
528,66,train,accuracy,0.7048693388512499
529,66,train,precision,0.7056195462478185
530,66,train,recall,0.980169696969697
531,66,train,f1_score,0.8205377980720446
532,66,validate,f1_score,0.8186636380844218
533,66,validate,accuracy,0.7016041115091107
534,66,validate,precision,0.7035380235868239
535,66,validate,recall,0.9788389725019803
536,67,train,accuracy,0.7105096285418683
537,67,train,precision,0.7166841933495304
538,67,train,recall,0.9582545454545455
539,67,train,f1_score,0.8200489606240405
540,67,validate,f1_score,0.8188107794281291
541,67,validate,accuracy,0.7083787572029279
542,67,validate,precision,0.7151791751183232
543,67,validate,recall,0.9575647844291049
544,68,train,accuracy,0.7125454727497247
545,68,train,precision,0.71328125
546,68,train,recall,0.9738666666666667
547,68,train,f1_score,0.8234498308906426
548,68,validate,f1_score,0.821911266058551
549,68,validate,accuracy,0.7096246690546644
550,68,validate,precision,0.7110394976037019
551,68,validate,recall,0.9737467466334729
552,69,train,accuracy,0.7146146914527918
553,69,train,precision,0.7156379482783255
554,69,train,recall,0.9713939393939394
555,69,train,f1_score,0.824129491372041
556,69,validate,f1_score,0.8201880637113798
557,69,validate,accuracy,0.7081451487307273
558,69,validate,precision,0.7119180478054469
559,69,validate,recall,0.9672965938666969
560,70,train,accuracy,0.7166839101558589
561,70,train,precision,0.7194575045207957
562,70,train,recall,0.9645090909090909
563,70,train,f1_score,0.8241532884515795
564,70,validate,f1_score,0.8196610496837429
565,70,validate,accuracy,0.7091574521102632
566,70,validate,precision,0.7148391443489978
567,70,validate,recall,0.9605069593753536
568,71,train,accuracy,0.719320495277509
569,71,train,precision,0.7205590263984688
